english,korean,part_of_speech,difficulty,created_at,updated_at,example_sentence,example_translation,,,,,
33,audience,"청중, 관객",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The audience applauded the performance with a standing ovation.,관객은 기립 박수로 공연을 환영했다.,,,,,
34,occupy,공간을 차지하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The new tenants will occupy the apartment starting next week.,새로운 세입자들이 다음 주부터 아파트에 입주할 예정이다.,,,,,
35,approximately,대략,adverb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The journey will take approximately two hours.,여정은 대략 두 시간이 걸릴 것이다.,,,,,
36,complimentary,무료의,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Guests will receive complimentary breakfast at the hotel.,호텔에서는 투숙객에게 무료 아침 식사를 제공합니다.,,,,,
37,outstanding,"미해결의, 미지불된",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He received an award for his outstanding performance.,그는 뛰어난 성과로 상을 받았다.,,,,,
38,imperative,"긴급한, 필수적인",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,It is imperative that we finish this project on time.,우리는 이 프로젝트를 제시간에 끝내는 것이 필수적이다.,,,,,
39,substantial,상당한,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company made a substantial investment in renewable energy.,그 회사는 재생 에너지에 상당한 투자를 했다.,,,,,
40,decline,감소하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Sales declined sharply in the last quarter.,지난 분기에 매출이 급격히 감소했다.,,,,,
41,balance,균형,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She tries to balance work and family life.,그녀는 일과 가정생활의 균형을 맞추려고 노력한다.,,,,,
42,account,계좌,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I created an online account to manage my purchases.,나는 구매 관리를 위해 온라인 계정을 만들었다.,,,,,
43,proceed,"계속하다, 진행하다",verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,"After the break, we will proceed with the next presentation.",휴식 후에 다음 발표를 진행하겠습니다.,,,,,
44,amenities,편의시설,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,"The hotel offers many amenities such as a spa, gym, and pool.","그 호텔은 스파, 헬스장, 수영장 같은 다양한 편의 시설을 제공한다.",,,,,
45,renowned,유명한,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She is a renowned expert in the field of biotechnology.,그녀는 생명공학 분야의 저명한 전문가이다.,,,,,
46,preserve,보존하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,It's important to preserve historic buildings for future generations.,역사적인 건물을 미래 세대를 위해 보존하는 것은 중요하다.,,,,,
47,simply,"단순하게, 간결하게",adverb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Simply press the button to start the machine.,기계를 작동시키려면 단순히 버튼만 누르면 됩니다.,,,,,
48,presence,"존재, 출석",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,His presence at the meeting made a strong impression.,회의에 그의 참석은 강한 인상을 남겼다.,,,,,
49,laboratory,실험실,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The vaccine was tested extensively in the laboratory.,백신은 실험실에서 철저하게 테스트되었다.,,,,,
50,effective,효과적인,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The new policy is effective starting next Monday.,새로운 정책은 다음 주 월요일부터 시행된다.,,,,,
51,enhance,향상시키다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,These updates will enhance the software’s performance.,이 업데이트는 소프트웨어 성능을 향상시킬 것이다.,,,,,
52,insurance,보험,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,You must have travel insurance before leaving the country.,해외로 나가기 전에 여행 보험에 가입해야 한다.,,,,,
53,spacious,"넓은, 공간이 많은",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,"The apartment is modern and spacious, ideal for a family.",그 아파트는 현대적이고 넓어서 가족이 살기에 이상적이다.,,,,,
54,ingredient,"(요리 및 화학 물질의) 재료, 성분",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Fresh ingredients are essential for a good meal.,신선한 재료는 좋은 요리에 필수적이다.,,,,,
55,withdraw,철회하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She decided to withdraw her application for the position.,그녀는 해당 직위에 대한 지원을 철회하기로 결정했다.,,,,,
56,banquet,"연회, 만찬",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company hosted a banquet to celebrate its anniversary.,회사는 창립 기념일을 축하하기 위해 연회를 열었다.,,,,,
57,experiment,실험,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They conducted an experiment to test the hypothesis.,그들은 가설을 검증하기 위해 실험을 수행했다.,,,,,
58,specific,"구체적인, 명확한",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please provide specific details about the incident.,그 사건에 대해 구체적인 내용을 제공해 주세요.,,,,,
59,specialize,전문화하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Our firm specializes in corporate law and intellectual property.,우리 회사는 기업 법률 및 지식 재산권에 전문화되어 있다.,,,,,
60,affect,영향을 미치다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The delay may affect our production schedule.,지연은 생산 일정에 영향을 미칠 수 있다.,,,,,
61,equip,장비를 제공하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,All employees were equipped with safety gear before entering.,모든 직원은 들어가기 전에 안전 장비를 착용했다.,,,,,
62,reimbursement,"환급, 상환",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,You will receive reimbursement for travel expenses within a week.,여행 경비에 대한 환급은 일주일 이내에 받을 수 있다.,,,,,
63,premises,"건물과 토지, 부지",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Smoking is strictly prohibited on the school premises.,학교 구내에서는 흡연이 엄격히 금지되어 있다.,,,,,
64,renovate,"수리하다, 개조하다",verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They plan to renovate the lobby to create a more welcoming space.,그들은 로비를 환영받는 공간으로 만들기 위해 리모델링할 계획이다.,,,,,
65,versatile,다재다능한,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She is a versatile designer who works with both fashion and interior.,그녀는 패션과 인테리어 모두를 다루는 다재다능한 디자이너이다.,,,,,
66,implement,실행하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company will implement a new system next quarter.,그 회사는 다음 분기에 새로운 시스템을 도입할 예정이다.,,,,,
67,informed,정보에 기반한,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We will keep you informed of any changes in the schedule.,일정 변경 사항이 있을 경우 계속 알려드리겠습니다.,,,,,
68,commitment,약속,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He showed great commitment to completing the project on time.,그는 프로젝트를 제시간에 완료하려는 강한 헌신을 보였다.,,,,,
69,direct,직접적인,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,You should direct any complaints to customer service.,불만 사항은 고객 서비스 부서로 전달해야 한다.,,,,,
70,facilitate,"용이하게 하다, 촉진 하다",verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The new software will facilitate better communication between teams.,이 새로운 소프트웨어는 팀 간의 더 나은 소통을 촉진할 것이다.,,,,,
71,commission,수수료,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She earns a 10% commission on every sale she makes.,그녀는 판매할 때마다 10%의 수수료를 받는다.,,,,,
72,cover,덮다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The warranty covers all repairs for up to two years.,보증은 최대 2년 동안 모든 수리를 포함한다.,,,,,
73,encourage,격려하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Parents should encourage children to express their opinions.,부모는 자녀가 의견을 표현하도록 격려해야 한다.,,,,,
74,persuade,설득하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He persuaded his boss to invest in the new project.,그는 상사를 설득해 새 프로젝트에 투자하게 했다.,,,,,
75,accompany,"동반하다, 함께 가다",verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I’ll accompany you to the airport if you’d like.,원하시면 공항까지 동행하겠습니다.,,,,,
76,candidate,"후보자, 지원자",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She is the strongest candidate for the managerial position.,그녀는 관리자 직책의 가장 유력한 후보자이다.,,,,,
77,renew,갱신하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Don’t forget to renew your membership before the deadline.,마감일 전에 회원권 갱신을 잊지 마세요.,,,,,
78,launch,출시하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company will launch its new product line next month.,회사는 다음 달에 신제품 라인을 출시할 예정이다.,,,,,
79,reliable,"믿을 수 있는, 신뢰할 수 있는",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We are looking for a reliable supplier who can meet deadlines.,우리는 마감일을 지킬 수 있는 신뢰할 수 있는 공급업체를 찾고 있다.,,,,,
80,inform,알리다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please inform us of any dietary restrictions in advance.,음식 제한 사항이 있으면 미리 알려 주세요.,,,,,
81,contribute,기여하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Everyone is encouraged to contribute their ideas to the discussion.,모두가 토론에 자신의 아이디어를 기여하도록 권장된다.,,,,,
82,strategy,전략,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We need a new marketing strategy to increase sales.,우리는 매출을 늘리기 위한 새로운 마케팅 전략이 필요하다.,,,,,
83,motivate,동기부여하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The coach tried to motivate the team with an inspiring speech.,코치는 팀을 고무시키기 위해 감동적인 연설을 했다.,,,,,
84,consider,고려하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please consider my application for the position.,제 지원서를 그 직책에 고려해 주세요.,,,,,
85,remind,상기시키다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Can you remind me to call her at 5 PM?,오후 5시에 그녀에게 전화하라고 상기시켜줄 수 있나요?,,,,,
86,suitable,"적합한, 알맞은",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,This dress is suitable for formal occasions.,이 드레스는 격식을 갖춘 행사에 적합하다.,,,,,
87,beverage,음료,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Coffee is a popular morning beverage around the world.,커피는 전 세계적으로 인기 있는 아침 음료이다.,,,,,
88,portable,휴대할 수 있는,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,"This speaker is small and portable, ideal for travel.",이 스피커는 작고 휴대 가능해서 여행에 이상적이다.,,,,,
89,essential,필수적인,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Water is essential for all forms of life.,물은 모든 생명체에 필수적이다.,,,,,
90,consent,"동의, 허락",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,You need parental consent to go on the field trip.,소풍에 가려면 부모님의 동의가 필요하다.,,,,,
91,tentative,"잠정적인, 임시의",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The meeting is scheduled for a tentative date next Friday.,회의는 다음 주 금요일로 임시 예정되어 있다.,,,,,
92,respective,"각각의, 각자의",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The students returned to their respective seats after lunch.,학생들은 점심 후 각자의 자리로 돌아갔다.,,,,,
93,arrange,정리하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I will arrange transportation to the airport.,공항까지의 교통편을 마련하겠다.,,,,,
94,associate,"관련시키다, 연관짓다",verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Many people associate dark clouds with bad weather.,많은 사람들이 먹구름을 나쁜 날씨와 연관 짓는다.,,,,,
95,publicity,"언론 보도, 광고",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The campaign gained a lot of publicity on social media.,그 캠페인은 소셜 미디어에서 많은 홍보를 얻었다.,,,,,
96,instructor,"강사, 교관",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The driving instructor taught me how to parallel park.,운전 강사가 평행 주차하는 법을 가르쳐줬다.,,,,,
97,contractor,"계약자, 도급업자",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The contractor finished the building project ahead of schedule.,그 계약자는 건설 프로젝트를 예정보다 빨리 끝냈다.,,,,,
98,relevant,관련 있는,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please include only the most relevant information in your report.,보고서에는 가장 관련 있는 정보만 포함해 주세요.,,,,,
99,weekly,매주 열리는,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We have a weekly team meeting every Monday.,우리는 매주 월요일에 팀 회의를 한다.,,,,,
100,imply,암시하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,His silence seemed to imply agreement.,그의 침묵은 동의를 암시하는 것처럼 보였다.,,,,,
101,readily,쉽게,adverb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She readily agreed to help with the project.,그녀는 기꺼이 그 프로젝트를 도와주겠다고 동의했다.,,,,,
102,diversify,"다양화하다, 다각화 하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company plans to diversify its product line next year.,그 회사는 내년에 제품 라인을 다양화할 계획이다.,,,,,
103,purpose,"목적, 의도",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The main purpose of this meeting is to discuss the budget.,이 회의의 주된 목적은 예산을 논의하는 것이다.,,,,,
104,remarkable,"눈에 띄는, 주목할 만 한",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Her performance was truly remarkable and received high praise.,그녀의 연기는 정말 놀라웠고 높은 찬사를 받았다.,,,,,
105,accuse,비난하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He was accused of stealing company funds.,그는 회사 자금을 훔친 혐의를 받았다.,,,,,
106,coordinate,"조율하다, 조정하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We need to coordinate our schedules to find a meeting time.,회의 시간을 정하기 위해 일정 조율이 필요하다.,,,,,
107,breakthrough,중요한 발견,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Scientists have made a major breakthrough in cancer treatment.,과학자들이 암 치료에서 큰 돌파구를 마련했다.,,,,,
108,affiliate,제휴하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The local clinic is affiliated with the university hospital.,그 지역 클리닉은 대학 병원과 제휴되어 있다.,,,,,
109,aggravate,악화시키다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,His rude comments only aggravated the situation.,그의 무례한 발언은 상황을 더욱 악화시켰다.,,,,,
110,amend,"수정하다, 변경하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The contract was amended to include new terms.,계약은 새로운 조건을 포함하도록 수정되었다.,,,,,
111,collateral,담보(물),noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He offered his car as collateral for the loan.,그는 대출 담보로 자신의 차를 제공했다.,,,,,
112,compulsory,"강제된, 의무적인",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Education is compulsory for children up to a certain age.,교육은 일정 나이까지 아동에게 의무적이다.,,,,,
113,prosecute,법적으로 기소하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company was prosecuted for violating environmental laws.,그 회사는 환경 법률 위반으로 기소되었다.,,,,,
114,promising,"전도유망한, 기대되는",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She is a promising young artist with a bright future.,그녀는 장래가 밝은 유망한 젊은 예술가이다.,,,,,
115,volatile,변덕스러운,adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The stock market is highly volatile these days.,요즘 주식 시장은 매우 변동성이 크다.,,,,,
116,surpass,능가하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Their new product has already surpassed expectations.,그들의 신제품은 이미 기대치를 뛰어넘었다.,,,,,
117,vulnerable,취약한,adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Infants are especially vulnerable to infections.,유아는 감염에 특히 취약하다.,,,,,
118,subordinate,"하위의, 종속적인",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The manager treats all subordinates with respect.,그 매니저는 모든 부하 직원을 존중하며 대한다.,,,,,
119,incur,(비용을) 발생시키다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,You may incur additional charges if you cancel late.,늦게 취소하면 추가 요금이 발생할 수 있다.,,,,,
120,overall,전반적인,adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,"Overall, the project was a great success.","전반적으로, 그 프로젝트는 큰 성공이었다.",,,,,
121,quota,할당량,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company reached its sales quota for the quarter.,회사는 이번 분기의 판매 할당량을 달성했다.,,,,,
122,oversee,"관리하다, 감독하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He was hired to oversee the construction project.,그는 건설 프로젝트를 감독하기 위해 고용되었다.,,,,,
123,subsidiary,"보조적인, 부수적인",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The firm is a subsidiary of a major international corporation.,그 회사는 대형 국제 기업의 자회사이다.,,,,,
124,morale,"사기, 의욕",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Employee morale has improved since the new manager arrived.,새 관리자 부임 이후 직원들의 사기가 향상되었다.,,,,,
125,prolonged,"장기적인, 길어진",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The country suffered from a prolonged drought.,그 나라는 장기적인 가뭄을 겪었다.,,,,,
126,bid,"제안하다, 입찰하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They placed a bid on the new government contract.,그들은 새로운 정부 계약에 입찰했다.,,,,,
127,recipient,"수령인, 받는 사람",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The recipient of the award gave a short speech.,상을 받은 수상자가 짧은 연설을 했다.,,,,,
128,mortgage,담보 대출,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They took out a mortgage to buy their first home.,그들은 첫 집을 사기 위해 주택 담보 대출을 받았다.,,,,,
129,assign,"할당하다, 배정하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The teacher assigned homework to be completed by Friday.,선생님은 금요일까지 끝내야 할 숙제를 내주었다.,,,,,
130,assert,주장하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She asserted her innocence strongly in court.,그녀는 법정에서 강하게 자신의 결백을 주장했다.,,,,,
131,convince,"설득하다, 납득시키다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He tried to convince me to invest in his business.,그는 내게 자신의 사업에 투자하라고 설득했다.,,,,,
132,allowance,허용량,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Children receive a weekly allowance from their parents.,아이들은 부모로부터 매주 용돈을 받는다.,,,,,
133,entry,"입장, 들어감",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Entry to the museum is free for children under five.,다섯 살 이하 어린이는 박물관 입장이 무료이다.,,,,,
134,specification,"명세서, 사양",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please follow the product specifications exactly.,제품 사양을 정확히 따르십시오.,,,,,
135,consecutive,연속적인,adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She won the award for three consecutive years.,그녀는 3년 연속으로 그 상을 받았다.,,,,,
136,substantial,상당한,adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They made a substantial investment in the project.,그들은 그 프로젝트에 상당한 투자를 했다.,,,,,
